epoch,auc,auc_1,loss,val_auc,val_auc_1,val_loss
0,0.8531324863433838,0.23661726713180542,0.08279494196176529,0.8613325953483582,0.23938941955566406,0.07200176268815994
1,0.871460497379303,0.2716269791126251,0.07935116440057755,0.8756257891654968,0.2511086165904999,0.0704251229763031
2,0.8762718439102173,0.28014373779296875,0.07843160629272461,0.8792191743850708,0.2584843933582306,0.06975365430116653
3,0.8788373470306396,0.2858647406101227,0.0778907760977745,0.875553548336029,0.2643953263759613,0.06958501785993576
4,0.8826801180839539,0.2913734018802643,0.07719950377941132,0.8826823830604553,0.2704324722290039,0.06865382939577103
5,0.8859708905220032,0.2972981929779053,0.07653941214084625,0.8845534324645996,0.27498793601989746,0.06832268089056015
6,0.8877993226051331,0.3016398549079895,0.0761246606707573,0.8908199071884155,0.281960666179657,0.06754787266254425
7,0.889000654220581,0.30463531613349915,0.07584643363952637,0.8895803689956665,0.28115883469581604,0.06754886358976364
8,0.8898081183433533,0.3070550262928009,0.07564367353916168,0.8913149237632751,0.28743743896484375,0.06711753457784653
9,0.8903897404670715,0.3086388409137726,0.07550304383039474,0.888343095779419,0.2854527533054352,0.06746417284011841
10,0.8909571766853333,0.31052467226982117,0.07535179704427719,0.8927554488182068,0.28775662183761597,0.0670335590839386
11,0.8914427161216736,0.3119143545627594,0.07523190975189209,0.8872825503349304,0.2907560467720032,0.06729809939861298
12,0.8920599818229675,0.3131929039955139,0.07509814202785492,0.8922913074493408,0.29453912377357483,0.06678827106952667
13,0.8925737142562866,0.31459730863571167,0.07497388124465942,0.8906847238540649,0.2905498445034027,0.0670117437839508
14,0.8929349184036255,0.31559720635414124,0.07488399744033813,0.8927530646324158,0.29473453760147095,0.06660472601652145
15,0.89322429895401,0.31616121530532837,0.07482051849365234,0.8929964303970337,0.29040655493736267,0.06692369282245636
16,0.8934292197227478,0.316818505525589,0.07476843893527985,0.891636312007904,0.29459598660469055,0.06672466546297073
17,0.8940496444702148,0.31784576177597046,0.07464151084423065,0.8966801166534424,0.29674825072288513,0.0668429285287857
18,0.8943986296653748,0.31879329681396484,0.07455777376890182,0.8896963000297546,0.2962258458137512,0.0668211355805397
19,0.8945075869560242,0.3192310631275177,0.07452285289764404,0.8927105665206909,0.30000075697898865,0.06640443950891495
20,0.8944876790046692,0.319191038608551,0.0745253786444664,0.8951753973960876,0.2980142831802368,0.06629512459039688
21,0.8945438861846924,0.31945931911468506,0.07450827956199646,0.8942994475364685,0.2992096543312073,0.06630539894104004
22,0.8944794535636902,0.31934887170791626,0.07452084124088287,0.8936961889266968,0.2988746166229248,0.06635632365942001
23,0.8944962024688721,0.3197854161262512,0.07450323551893234,0.895384669303894,0.30384618043899536,0.06616105884313583
24,0.8947464823722839,0.32037362456321716,0.0744454562664032,0.8931061029434204,0.30395039916038513,0.06615017354488373
25,0.8949118256568909,0.3211905360221863,0.07438919693231583,0.8914264440536499,0.299949049949646,0.06653449684381485
26,0.8947498202323914,0.32104718685150146,0.07441691309213638,0.8954795002937317,0.30174320936203003,0.06610031425952911
27,0.894419252872467,0.3203487694263458,0.07449404895305634,0.8912767171859741,0.2965909540653229,0.06667600572109222
28,0.8941580057144165,0.319736123085022,0.07455416023731232,0.894809365272522,0.2992876172065735,0.06644123047590256
29,0.8936561346054077,0.3181346356868744,0.07468628138303757,0.8953118920326233,0.299273282289505,0.06640148162841797
30,0.8932029008865356,0.3173027038574219,0.07478093355894089,0.8939037322998047,0.2932800352573395,0.06655962020158768
31,0.8921734094619751,0.31396225094795227,0.07505398243665695,0.8934844732284546,0.296200692653656,0.06660270690917969
32,0.8916779160499573,0.3130267560482025,0.07515846192836761,0.8929042220115662,0.297927588224411,0.0665355995297432
33,0.8915743827819824,0.3127681314945221,0.07518140226602554,0.8908065557479858,0.29463785886764526,0.06680572777986526
34,0.8920177817344666,0.3133402168750763,0.07509954273700714,0.8941962122917175,0.2972390949726105,0.06637782603502274
35,0.8918412923812866,0.3122541308403015,0.07516292482614517,0.8916608691215515,0.2881253957748413,0.06691206246614456
36,0.8909057378768921,0.30943089723587036,0.07540258765220642,0.8930245637893677,0.2935725450515747,0.06671267747879028
37,0.8907409906387329,0.30875450372695923,0.07544758170843124,0.8924647569656372,0.29184862971305847,0.06676242500543594
38,0.8911362290382385,0.30999669432640076,0.07534724473953247,0.8892926573753357,0.2900771200656891,0.06711069494485855
